Postcode,Eastings,Northings
RM107XP,550079,185447
RM107XR,549992,185442
RM107XT,549996,185822
RM107YH,549497,185998
RM107YJ,549542,186158
RM107YR,549543,185792
RM108AY,549212,185632
RM108AZ,549241,185627
RM108BB,550671,184546
RM108BE,550788,184567
RM108BG,549362,185638
RM108BH,550896,184589
RM108BN,549293,185473
RM108BT,550900,184823
RM108BU,551030,184823
RM108DA,550997,184745
RM108DD,549081,185380
RM108DE,549597,185359
RM108DF,549234,185372
RM108DX,549556,184909
RM108ED,549742,185015
RM108EP,550087,185183
RM108ER,550104,185259
RM108ES,550009,185339
RM108ET,549870,185324
RM108EU,550009,185244
RM108EX,549944,185221
RM108GX,549358,184786
RM108GY,549311,184777
RM108HA,549872,185208
RM108HU,549490,185592
RM108JD,549578,185093
RM108JP,549416,185121
RM108JT,549380,185282
RM108JU,549249,185271
RM108LD,549347,184933
RM108LH,549432,185579
RM108NB,549382,185037
RM108ND,549494,185057
RM108NR,549218,185189
RM108NT,549182,185306
RM108NX,549171,185114
RM108PB,549190,184934
RM108PH,549280,184927
RM108PT,549154,185684
RM108QA,549165,185521
RM108QJ,549009,185666
RM108RQ,549122,184697
RM108RX,549585,184692
RM108SA,549605,184629
RM108SE,550142,184924
RM108SH,549663,184761
RM108SN,549442,184736
RM108SP,549391,184695
RM108SR,549275,184677
RM108TD,549726,184657
RM108TZ,549825,184794
RM108UA,550026,184647
RM108UD,550495,184925
RM108UH,550679,184908
RM108UJ,550805,184876
RM108UL,550949,184907
RM108UT,550517,184831
RM108XD,550163,184763
RM108XR,550681,184349
RM108XX,549980,185099
RM108YD,550131,185065
RM108YS,550294,184653
RM109AB,549602,183582
RM109AJ,549818,183858
RM109AU,549887,183309
RM109BA,549833,183532
RM109BD,550042,183352
RM109BE,549835,183562
RM109BJ,549858,183609
RM109BL,550079,183390
RM109DG,549537,183447
RM109DH,549554,183587
RM109DT,549943,183307
RM109DX,549810,183492
RM109EA,549969,183317
RM109EB,550076,183182
RM109ER,549826,183737
RM109HB,549376,184141
RM109HL,549188,184341
RM109HP,549302,184154
RM109HX,549307,183960
RM109JD,549310,183865
RM109JL,549186,183923
RM109JR,549341,184300
RM109ND,550010,183158
RM109NX,549101,184116
RM109PH,549243,184143
RM109PT,549436,183833
RM109PU,549603,183834
RM109PX,549444,183803
RM109QB,549421,183920
RM109QT,549232,184502
RM109RB,549324,184478
RM109RJ,549333,184539
RM109SL,549641,184427
RM109SS,549777,184418
RM109TB,549944,184437
RM109TD,549874,184424
RM109UB,550190,184651
RM109UR,549926,184525
RM109XA,549851,184485
RM109XU,550455,184275
RM109YB,550619,184218
RM109YH,550623,184075
RM109YX,550093,184482
RM65AN,548407,189526
RM65BL,547678,189234
RM65BP,547779,189202
RM65EH,547484,189531
RM65EJ,547556,189333
RM65ES,547784,189268
RM65HB,547836,189494
RM65JH,547719,189462
RM65JT,548217,189279
RM65JU,548235,189329
RM65LA,548346,189346
RM65LB,548442,189321
RM65LH,548272,189438
RM65NA,547928,189639
RM65PD,547540,189569
RM65PX,548068,189911
RM65QD,548259,189924
RM65QH,548336,189957
RM65QT,548520,190180
RM65RD,548424,190197
RM65SA,548207,189046
RM65SB,547971,189053
RM65TH,547885,188908
RM65UB,547876,188697
RM65UE,548006,188808
RM66AA,548997,188132
RM66AH,548941,188180
RM66AJ,548831,188156
RM66BB,548898,188349
RM66BJ,548825,188313
RM66BL,548753,188392
RM66BS,548761,188264
RM66DB,548626,188421
RM66DD,548684,188265
RM66DJ,548706,188173
RM66DL,548175,188077
RM66DT,548714,187933
RM66DU,548863,188046
RM66DX,548859,188087
RM66ED,548397,187934
RM66EL,548396,187777
RM66EU,548512,187883
RM66HH,548624,187986
RM66JL,547838,187840
RM66LH,548153,187728
RM66NP,548234,188122
RM66PN,548335,188051
RM66RJ,548516,188251
RM66RU,548310,188439
RM66SH,548329,188745
RM66SJ,548174,188717
RM66SL,548162,188789
RM66SS,548298,188855
RM66SU,548174,188834
RM66SX,548149,188916
RM66TA,548130,189007
RM66TB,548200,189005
RM66TH,548355,188948
RM66UT,548285,188335
RM66UX,548258,188542
RM66XB,548287,188533
RM66XH,548223,188496
RM66XJ,548175,188432
RM66XL,548071,188461
RM66XP,548159,188529
RM66YD,548079,188392
RM66YS,548089,188768
RM66YT,548097,188914
RM70RJ,551043,187333
RM70RT,551273,187188
RM70RU,551280,187120
RM70SA,551372,187116
RM70SB,551239,186978
RM70SH,551177,186996
RM70SJ,551010,187052
RM70SL,551220,187207
RM70SP,551182,187196
RM70SR,551091,187222
RM70TJ,550899,187315
RM70TL,550934,187248
RM70TU,550620,186973
RM70UD,550615,187121
RM70UH,550514,187101
RM70UP,550464,187231
RM70UX,550698,187203
RM70WX,550992,186817
RM70WY,550943,186823
RM70WZ,551073,186838
RM70XA,550725,187316
RM70XL,550574,187198
RM70XN,551094,186737
RM70XQ,551101,186666
RM70YH,551201,186578
RM70YJ,551262,186739
RM70YP,551338,186809
RM70YQ,551182,186870
RM70YR,551418,186721
RM70YT,551229,186538
RM70YU,551339,186521
RM70YX,551137,186481
RM70YY,551309,186857
RM81AD,548940,186936
RM81AR,548784,187177
RM81AS,548741,187250
RM81BA,548841,187377
RM81BF,548151,187162
RM81BP,548801,186845
RM81BU,548285,186866
RM81DH,548289,186904
RM81EH,547939,187437
RM81EQ,548402,187197
RM81JH,549017,187562
RM81JJ,549154,187579
RM81JS,548869,187629
RM81LJ,549044,187096
RM81LL,549112,187046
RM81LP,549110,187156
RM81LR,549019,187188
RM81LS,549089,187257
RM81NA,548978,187389
RM81ND,548971,187432
RM81NJ,548883,187352
RM81NS,549122,187469
RM81PJ,548516,186940
RM81PP,548469,187073
RM81PT,548573,187067
RM81PU,548624,187049
RM81QP,548410,187006
RM81QS,548283,187036
RM81QT,548280,187068
RM81QU,548148,186947
RM81RB,548124,187048
RM81SR,547877,187521
RM81SS,547774,187333
RM81SW,547779,187514
RM81TJ,547696,187044
RM81TP,547678,187365
RM81TT,547793,187131
RM81UB,547617,187332
RM81UD,547582,187171
RM81UL,547489,187027
RM81UP,547531,187044
RM81XH,547533,187324
RM81XJ,547486,187191
RM81XL,547621,187201
RM81XR,547266,187126
RM82AD,547204,185635
RM82AR,546464,185718
RM82AT,546839,185808
RM82AU,546913,185952
RM82AX,547057,186138
RM82BA,547180,186243
RM82BF,546560,185529
RM82BG,547211,185181
RM82BH,546998,185924
RM82BL,546852,184922
RM82BU,547156,185741
RM82BY,547047,184992
RM82DA,546744,185774
RM82DF,547109,185172
RM82DN,547060,185074
RM82DW,547029,185068
RM82DY,547125,185046
RM82DZ,547190,185097
RM82EN,547195,185043
RM82EU,547225,185472
RM82FF,546464,185718
RM82FG,546512,185501
RM82FJ,546475,185511
RM82FL,546501,185601
RM82FW,546294,185663
RM82FY,546381,185600
RM82GQ,546238,185769
RM82HD,547361,185437
RM82HS,546886,185637
RM82HU,546752,185587
RM82HW,546724,184870
RM82JF,546883,185793
RM82JR,546616,185057
RM82JS,547340,186655
RM82JW,547266,186793
RM82JZ,547069,186754
RM82LH,546960,184965
RM82LR,546804,185100
RM82LS,546763,184918
RM82LU,546826,185047
RM82LX,546858,184998
RM82ND,546901,185288
RM82NJ,546967,185448
RM82NU,547025,185517
RM82PJ,547303,186809
RM82PR,547019,186875
RM82PT,546986,186696
RM82PU,546983,186598
RM82QP,547044,186432
RM82QS,546769,186320
RM82RB,547449,186183
RM82RL,547059,185921
RM82RR,546937,185834
RM82SJ,547241,186234
RM82SP,547330,186216
RM82SR,547368,186043
RM82SX,547329,185862
RM82TB,547430,186365
RM82TP,547315,186464
RM82TR,547162,186360
RM82TT,547025,185984
RM82UJ,546832,186025
RM82UU,547356,186531
RM82XB,547589,185632
RM82XH,547465,185695
RM82XJ,547379,185670
RM82XP,547310,185567
RM82XS,547564,185528
RM82YA,547311,185248
RM82YR,546768,185552
RM82YT,546914,185349
RM82YU,546902,185316
RM82YX,547122,185295
RM83AH,548536,186253
RM83AJ,548317,186269
RM83AP,548119,186256
RM83AT,547873,186213
RM83AX,547911,186464
RM83BD,547811,186708
RM83BJ,547860,186343
RM83BL,547872,186130
RM83BP,547851,185955
RM83DD,548512,186490
RM83DF,547893,186862
RM83DH,548507,186455
RM83DJ,548593,186507
RM83DR,548758,186597
RM83DX,548874,186454
RM83ED,548724,186427
RM83ET,548411,186331
RM83HB,548689,186633
RM83HD,548910,186754
RM83HL,548740,186675
RM83HX,547916,186588
RM83JA,547896,186619
RM83JB,548004,186708
RM83JD,548129,186799
RM83JH,547925,186783
RM83JJ,547929,186736
RM83JL,548156,186703
RM83JR,548363,186653
RM83JU,548459,186093
RM83JX,548369,186153
RM83LP,548030,186046
RM83LR,548067,186055
RM83LS,548136,186056
RM83LT,548165,186081
RM83LX,547924,186073
RM83ND,547539,185796
RM83NT,548963,186710
RM83PA,548333,186774
RM83PD,548244,186694
RM83PS,548684,186778
RM83PT,548736,186748
RM83QS,547674,186440
RM83RB,547796,186379
RM83RR,547619,186628
RM83RS,547681,186768
RM83RU,547487,186754
RM83SA,547450,186769
RM83SJ,547679,186002
RM83SR,547659,186236
RM83XA,547581,185888
RM83XJ,547652,186142
RM94AA,547266,184931
RM94AB,547302,184763
RM94AD,547326,184630
RM94AP,547283,184543
RM94AS,547029,184472
RM94BA,547080,184578
RM94BE,547187,184671
RM94BH,547228,184706
RM94DH,546946,184145
RM94DT,546843,184099
RM94EL,546888,184062
RM94ES,547206,184105
RM94EU,547324,184130
RM94HA,547545,184273
RM94HN,547220,184244
RM94HX,547116,183925
RM94JA,547220,183938
RM94JH,547275,183913
RM94JJ,547270,184017
RM94LA,547092,184411
RM94LH,547468,184457
RM94NA,546931,184784
RM94NB,546797,184689
RM94NS,547387,184696
RM94PP,546970,184701
RM94PQ,546911,184579
RM94QR,546442,183778
RM94RX,547560,184001
RM94SJ,547481,184322
RM94ST,547188,184321
RM94TD,546685,184232
RM94TL,547119,184340
RM94TU,547640,184072
RM94UR,547615,184237
RM94UT,547690,184303
RM94XA,547152,183867
RM94XH,546711,183860
RM95AA,548672,185975
RM95AB,548726,186015
RM95AF,549025,184970
RM95AG,549021,185092
RM95AH,548683,185646
RM95AP,548701,185523
RM95AS,548951,185309
RM95AU,548770,185666
RM95AX,548897,185675
RM95BD,548820,185500
RM95BH,548586,185551
RM95BP,548476,185571
RM95BX,548603,185869
RM95DJ,548616,185297
RM95DS,548723,185298
RM95DT,548697,185174
RM95DU,548739,185151
RM95EB,548768,185270
RM95EL,548887,185199
RM95ET,548935,185214
RM95HS,548411,185750
RM95JA,548296,185618
RM95JD,548322,185561
RM95JH,548181,185447
RM95JJ,548251,185428
RM95JL,548321,185399
RM95JR,548620,185472
RM95JW,548321,185352
RM95LL,548216,185801
RM95LT,548048,185785
RM95LX,548043,185626
RM95NA,547973,185722
RM95NH,547923,185776
RM95PT,548498,185133
RM95PU,548476,185108
RM95PX,548500,185175
RM95QL,547954,185629
RM95QU,548961,185386
RM95RP,548776,184728
RM95RR,548640,184710
RM95RU,548196,184670
RM95RX,548191,184706
RM95SA,547980,184611
RM95SL,547906,185811
RM95SR,548124,185873
RM95TA,548916,186263
RM95TJ,548844,186105
RM95UB,548503,185887
RM95UL,548737,185898
RM95XB,548971,185678
RM95XL,548771,185843
RM95XR,547775,185542
RM95XT,547811,185599
RM95XU,547695,185433
RM95YD,547746,185315
RM95YH,547757,185417
RM95YN,547863,185425
RM95YU,547619,185455
RM96AL,548074,184053
RM96AS,548209,183956
RM96AT,548236,183991
RM96BA,548092,183998
RM96BB,548058,183907
RM96BD,547892,183910
RM96BE,547921,184005
RM96DA,548177,184450
RM96DD,548215,184525
RM96DR,547800,184346
RM96DS,548106,184309
RM96DX,548038,184261
RM96EF,548002,184518
RM96EH,548234,184206
RM96EJ,548354,184214
RM96EL,548382,184128
RM96EP,548313,184265
RM96ES,548297,184381
RM96HJ,548788,184424
RM96HR,548757,184565
RM96HX,548597,184410
RM96JB,548468,184419
RM96JD,548429,184313
RM96JR,548416,184223
RM96LD,548925,184449
RM96LL,548323,183918
RM96LR,548868,184318
RM96LU,548975,184389
RM96NA,548714,183957
RM96ND,548832,184199
RM96NH,548865,184183
RM96NP,548850,183842
RM96NR,548992,183815
RM96TB,547827,184020
RM96TL,547859,184290
RM96TP,547718,184157
RM96UL,548869,183778
RM96XJ,548501,183901
RM96XU,547974,183869
RM96XZ,548726,183703
RM96YE,548643,183701
RM96YF,548489,183655
EN48AD,526597,195901
EN48AG,526940,195474
EN48AN,526601,195948
EN48AU,526682,195630
EN48BD,526781,195823
EN48BS,526804,195557
EN48BT,526897,195518
EN48DA,526950,194964
EN48DE,526870,195078
EN48DG,526836,195223
EN48DH,527234,195028
EN48DQ,526803,195273
EN48DU,527170,194699
EN48DX,527202,194846
EN48EA,527246,194816
EN48EB,527259,194551
EN48ED,527296,194550
EN48EP,527385,194474
EN48EQ,527361,194771
EN48ET,527599,194070
EN48EU,527620,194184
EN48EW,527474,194709
EN48EX,527660,194059
EN48EY,527758,194129
EN48EZ,527820,194170
EN48HP,527510,195591
EN48HU,528009,195640
EN48JE,527143,195121
EN48LA,528337,194548
EN48LH,528282,194717
EN48LL,528375,194575
EN48LT,527810,194406
EN48LU,527793,194208
EN48ND,527607,194384
EN48NH,527620,194490
EN48NJ,527545,194424
EN48NT,528173,194481
EN48NU,528276,194319
EN48NY,528280,194169
EN48PE,528118,194438
EN48PL,527910,194237
EN48PP,527973,194370
EN48PU,527783,195574
EN48PX,527882,195613
EN48PZ,527876,195216
EN48QA,527851,195288
EN48QB,527740,195141
EN48QD,527942,195383
EN48QF,528094,195596
EN48QG,528175,195436
EN48QH,528008,195531
EN48QJ,527959,195508
EN48QL,527934,195475
EN48QP,527010,195593
EN48QQ,528133,195320
EN48QS,527006,195607
EN48RF,526836,195952
EN48RY,527035,195311
EN48SB,527105,195528
EN48TE,527093,195318
EN48TS,527531,195082
EN48TU,527400,195331
EN48TY,527550,195141
EN48UA,527488,195356
EN48UB,527596,195428
EN48UE,527567,195272
EN48UL,526909,195324
EN48UN,526918,195263
EN48UP,527005,195137
EN48UT,527089,195257
EN48XB,527520,194774
EN48XG,527505,194621
EN49AJ,527028,196605
EN49AN,526859,196531
EN49AZ,527307,196329
EN49BH,526448,196686
EN49BS,526764,196610
EN49BX,527212,196719
EN49BY,527188,196695
EN49DJ,527232,196609
EN49DL,527376,196596
EN49DN,527300,196728
EN49DQ,527062,196798
EN49DX,527704,196446
EN49EG,527805,196274
EN49ET,527497,196310
EN49EY,527461,196051
EN49HF,527514,196247
EN49HH,527756,196187
EN49LE,527751,195794
EN49LF,527802,195770
EN49LH,527933,196036
EN49LJ,527667,195811
EN49NG,527949,195799
EN49NY,526998,196003
EN49PA,526936,195979
EN49PB,526953,196081
EN49PE,526861,196204
EN49PH,526685,196269
EN49PJ,526683,196322
EN49PL,526666,196177
EN49PW,526774,196189
EN49QA,526856,196381
EN49QB,526801,196331
EN49QF,527087,196371
EN49QN,527297,195742
EN49QT,527226,196116
EN49RB,527166,196222
EN49RD,526950,196291
EN49RF,526923,196268
EN49RN,527152,195850
EN49RP,527159,195755
EN49RQ,527142,196132
EN49RR,527033,195742
EN49RU,527085,196288
EN49RX,527121,196072
EN49RY,527174,196044
EN49SB,527006,195867
EN49TT,527756,196599
EN49TU,527673,196507
EN49TX,527585,196491
EN51AE,525535,195699
EN51AL,525595,195532
EN51AT,525735,195438
EN51AY,525838,195303
EN51AZ,525872,195195
EN51BD,525728,195254
EN51DD,526376,195132
EN51DE,526502,195212
EN51DQ,526502,195089
EN51DR,526848,195026
EN51HE,525814,195601
EN51HP,526033,195592
EN51HQ,525784,195716
EN51JL,526049,195383
EN51JX,526398,195460
EN51JY,526206,195442
EN51JZ,526396,195422
EN51LE,526255,195702
EN51LJ,526604,195597
EN51LL,526574,195558
EN51LN,526464,195936
EN51LQ,526748,195198
EN51LS,526218,195552
EN51LT,526416,195700
EN51LW,526437,196034
EN51LZ,526427,195570
EN51NE,526327,195502
EN51PH,526199,196046
EN51PL,526249,196057
EN51QD,525830,195953
EN51QJ,526276,196069
EN51QR,525594,195778
EN51QU,525809,195880
EN51QY,525977,196020
EN51RJ,526164,195894
EN51RQ,526195,195947
EN51SA,526172,195825
EN51SB,526127,195756
EN51SD,526238,195780
EN51SF,526431,195776
EN51SJ,526205,196104
EN52AA,521838,195163
EN52AB,521841,195071
EN52AD,522010,194801
EN52AT,523568,195211
EN52BG,525345,195712
EN52BJ,525458,195534
EN52BL,525558,195317
EN52BN,525626,195149
EN52BP,525533,195291
EN52BT,525528,195056
EN52BU,525524,195096
EN52BW,525455,195460
EN52BX,525526,195158
EN52DB,525445,195332
EN52DE,523952,195632
EN52DF,523981,195669
EN52DR,524945,195670
EN52DZ,524481,195679
EN52EB,524934,195862
EN52ED,524996,195991
EN52EE,525002,195843
EN52EP,524777,196121
EN52ER,524696,195963
EN52ES,524665,195816
EN52EU,524719,195868
EN52EZ,524923,195966
EN52FF,524126,195440
EN52FG,524556,195517
EN52FU,524892,195675
EN52FW,524851,195676
EN52HA,524805,195838
EN52HH,524622,196274
EN52HT,524573,195810
EN52HX,524627,196024
EN52HZ,524801,196260
EN52JA,524674,196155
EN52JH,524346,196299
EN52LA,524279,196190
EN52LE,524331,196019
EN52LG,524358,195789
EN52LL,524331,195669
EN52LN,524270,195784
EN52LP,524244,195772
EN52NG,524204,196286
EN52NH,524195,195753
EN52NJ,524165,196132
EN52NL,524158,195812
EN52NQ,524193,195943
EN52NX,524229,196129
EN52NY,524278,195393
EN52PB,524281,195346
EN52PD,524388,195524
EN52PE,524418,195300
EN52PG,524348,195514
EN52PS,524004,195337
EN52PT,524047,195267
EN52PW,524132,195284
EN52PY,523933,195251
EN52QB,523821,195235
EN52QF,523684,195320
EN52QG,523573,195354
EN52QN,523655,195515
EN52QT,523428,195424
EN52QW,523543,195518
EN52RF,523756,195546
EN52RG,523858,195450
EN52RN,523897,195652
EN52RW,523765,195596
EN52RY,523949,196320
EN52SA,523875,196352
EN52SB,523875,196322
EN52SH,523853,196185
EN52SS,523916,195958
EN52ST,523779,196005
EN52SW,523953,195918
EN52SY,523663,195852
EN52TN,524043,196287
EN52UP,524584,195360
EN52UU,524615,195339
EN53AD,523157,195765
EN53AE,523251,195754
EN53AG,523199,195705
EN53BA,523196,196057
EN53BB,523232,196006
EN53BN,523160,195610
EN53BP,523064,195606
EN53DB,522800,195807
EN53EA,523268,195887
EN53EB,523370,195711
EN53EF,523469,195855
EN53ET,523043,196147
EN53EW,523056,196228
EN53HD,523251,196287
EN53HE,522900,196130
EN53HJ,522203,195740
EN53HU,521818,195390
EN53JJ,521954,195194
EN53JL,522040,195228
EN53JN,522758,196167
EN53JY,522224,195528
EN53LJ,522255,195707
EN53LP,522746,195882
EN53LT,522021,195582
EN53LU,522564,195795
EN53NA,522336,195971
EN54AH,523238,196519
EN54AQ,523145,196581
EN54AU,524165,196363
EN54BL,524115,196398
EN54BP,524410,196350
EN54DA,523588,196426
EN54EN,524031,196642
EN54ES,524035,196727
EN54EX,524177,196881
EN54HD,524053,197080
EN54HF,524124,196959
EN54HH,523951,197098
EN54HJ,523964,197074
EN54HL,524038,196901
EN54HN,523984,197008
EN54HP,523952,196999
EN54HQ,524057,197020
EN54HY,524287,196510
EN54HZ,524346,196568
EN54JE,524146,196566
EN54JH,524277,196607
EN54JL,524147,196683
EN54JQ,524150,196648
EN54JT,524021,197156
EN54LB,524299,197187
EN54LE,524167,197104
EN54LG,524233,197020
EN54LH,524338,196976
EN54LN,524347,196898
EN54LU,524204,196792
EN54NG,523830,196548
EN54NH,523951,196585
EN54NP,523681,196903
EN54NS,523686,196943
EN54NU,523799,197008
EN54NY,523889,196912
EN54PL,524414,197037
EN54PR,524807,197991
EN54PS,524677,197448
EN54PU,524667,197692
EN54PY,524699,197897
EN54PZ,524797,198039
EN54QQ,524625,197862
EN55AD,525385,196020
EN55AS,525506,196249
EN55AT,525552,196238
EN55AU,525411,196364
EN55AX,525287,196312
EN55BA,525374,195914
EN55BE,525417,196222
EN55BJ,525623,196246
EN55BY,526325,196271
EN55DE,525957,196143
EN55DG,525885,196120
